ProductType,Model,Manufacturer
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
ALL IN ONE,"iMac14,2/A1419",APPLE
ALL IN ONE,"iMac14,2/A1419",APPLE
ALL IN ONE,"iMac14,2/A1419",APPLE
ALL IN ONE,"iMac14,2/A1419",APPLE
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
ALL IN ONE,"iMac14,2/A1419",APPLE
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
TABLET,GALAXY TAB A (2016),SAMSUNG
